artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Lloyd Price,Come Into My Heart,12/7/1959,0.4,0.47,0.84,TRAJNAD128F149590D,2448699
Rod Bernard,This Should Go On Forever,4/13/1959,0.26,0.64,0.87,TRCBOJD128F92F4C12,7741323
Bo Diddley,Say Man,10/26/1959,0.75,0.71,0.99,TRQVSQW128F93010D4,2906471
Jackie Wilson,I'll Be Satisfied,8/3/1959,0.54,0.55,0.84,TRECHGY128F93010DF,7921770
Dee Clark,Nobody But You,2/2/1959,0.7,0.16,0.61,TRKGTWJ128F42246AB,8959495
Ritchie Valens,La Bamba,2/2/1959,0.52,0.83,0.89,TRAATJP12903CBA7D7,8103988
Connie Francis,If I Didn't Care,4/6/1959,0.34,0.38,0.41,TROTFBB128E0794054,8849349
Duane Eddy,The Lonely One,2/16/1959,0.67,0.36,0.59,TRLQQUQ128F9332FD8,3391465
Webb Pierce,I Ain't Never,9/14/1959,0.91,0.56,0.95,TRZFWHP12903D13D18,3013240
Tony Bellus,Robbin' The Cradle,8/17/1959,0.46,0.41,0.62,TRQBFEY128F934A8C2,6938892
Ray Peterson,The Wonder Of You,6/29/1959,0.21,0.41,0.22,TRPTZEC12903D13E22,2806546
Sam Cooke,Only Sixteen,7/13/1959,0.56,0.46,0.81,TRBVUAB12903CE121C,861464
Conway Twitty,Mona Lisa,8/31/1959,0.42,0.79,0.84,TRPNEGV128F1486A49,8163706
Perry Como,Tomboy,3/30/1959,0.62,0.45,0.93,TRWQXMX128F42843EC,6865151
Fabian,Come On And Get Me,10/12/1959,0.34,0.77,0.86,TRIQXTG12903CD4B38,5528806
Anita Bryant,Till There Was You,8/17/1959,0.26,0.26,0.23,TRPKJGK12903CB754C,2925114
Marv Johnson,Come To Me,5/18/1959,0.61,0.54,0.8,TRCGPIM128F92F66B5,2978358
Cliff Richard,Living Doll,11/23/1959,0.74,0.42,0.63,TRMHNDT12903CB3AB6,10042195
Fabian,I'm A Man,2/9/1959,0.36,0.84,0.9,TRVLWQR12903CBA6B2,5528804
Chuck Berry,Almost Grown,5/4/1959,0.68,0.91,0.56,TRKFEBX128F4259365,3024709
Eddie Cochran,C'mon Everybody,1/5/1959,0.56,0.72,0.96,TRBAMXP128F92FC856,7957615
Jimmie Rodgers,I'm Never Gonna Tell,3/30/1959,0.64,0.68,0.56,TRTJQUE12903CF0A6E,10212017
Eugene Church,Pretty Girls Everywhere,3/2/1959,0.68,0.77,0.96,TRCJPWR12903D0730B,2574759
Jackie Wilson,You Better Know It,10/12/1959,0.61,0.38,0.88,TRLIDCU128F93010E8,7423796
Marty Robbins,The Hanging Tree,3/16/1959,0.55,0.39,0.63,TRFMYOR12903D13DAC,8166862
Chubby Checker,The Class,6/22/1959,0.58,0.54,0.66,TRJTJRD128F429D859,5676831
Ricky Nelson,Mighty Good,12/21/1959,0.55,0.85,0.97,TRXYPVB12903CD976E,6181114
Fireballs,Torquay,10/26/1959,0.61,0.64,0.91,TRHZMSY12903CEA509,8035916
Neil Sedaka,I Go Ape,3/30/1959,0.41,0.96,0.92,TRXWGBG128F930E1DF,1465627
Johnny Cash,I Got Stripes,9/21/1959,0.48,0.49,0.74,TRCDNTR128F4271996,8130125
Lloyd Price,Wont'cha Come Home,11/16/1959,0.58,0.22,0.81,TRSCPVM128F9359881,12887184
Don Gibson,Who Cares,2/23/1959,0.66,0.61,0.73,TRAOPAR128F92EFD17,2953995
Bobby Rydell,I Dig Girls,11/16/1959,0.72,0.72,0.96,TRAATOA128F92D2B81,2925490
Perry Como,I Know,7/13/1959,0.2,0.45,0.24,TRTWZZZ128F42A32F1,11122465
James Brown,Try Me,1/12/1959,0.33,0.38,0.14,TRMGUEB128F9329017,3001925
Chet Atkins,Boo Boo Stick Beat,10/12/1959,0.59,0.91,0.67,TREWFWO12903CCCED8,8456856
Fats Domino,Margie,6/8/1959,0.58,0.5,0.87,TRTPKIY128F93011EF,8764485
